stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
490005152S,,Cheyne Walk (Stop BA),,51.4827420,-0.1739190,,,0,,Europe/London,1
490005156W,,Irene Road (Stop GM),,51.4735300,-0.1970100,,,0,,Europe/London,1
490005189E,,Irene Road (Stop GA),,51.4740680,-0.1962970,,,0,,Europe/London,1
490005328V,,Clapham Common Old Town (Stop W),,51.4630510,-0.1426730,,,0,,Europe/London,1
490005328Y,,Clapham Common Old Town,,51.4633180,-0.1423740,,,0,,Europe/London,1
490005330W,,Sisters Avenue,,51.4612810,-0.1585800,,,0,,Europe/London,1
490005331E,,Clapham Junction Station  The Falcon (Stop E),,51.4643140,-0.1681040,,,0,,Europe/London,1
490005332H,,Clapham Junction Station (Stop H),,51.4640960,-0.1678250,,,0,,Europe/London,1
490005332P,,Clapham Junction Station  The Falcon (Stop P),,51.4632230,-0.1678020,,,0,,Europe/London,1
490005332T,,Clapham Junction Station  The Falcon (Stop T),,51.4630850,-0.1676640,,,0,,Europe/London,1
490005333V,,Clapham Junction  The Northcote (Stop V),,51.4617610,-0.1676160,,,0,,Europe/London,1
490005333X,,Northcote Road (Stop X),,51.4608040,-0.1678410,,,0,,Europe/London,1
490005333Y,,Clapham Junction  The Northcote (Stop Y),,51.4612810,-0.1672320,,,0,,Europe/London,1
490005333Z,,Northcote Road (Stop Z),,51.4607660,-0.1660720,,,0,,Europe/London,1
490005367N,,Claverton St  Churchill Gdns (Stop A),,51.4860230,-0.1377220,,,0,,Europe/London,1
490005444N,,Bishops Park Road (Stop FK),,51.4748920,-0.2143510,,,0,,Europe/London,1
490005528Q,,Pembroke Place (Stop Q),,51.4979630,-0.1980200,,,0,,Europe/London,1
490005528V,,Pembroke Place (Stop V),,51.4986110,-0.1982530,,,0,,Europe/London,1
490005528X,,The Design Museum (Stop X),,51.4987720,-0.1992550,,,0,,Europe/London,1
490005528Y,,The Design Museum (Stop Y),,51.4985540,-0.2007910,,,0,,Europe/London,1
490005615N,,Cornwall Gardens (Stop GW),,51.4963260,-0.1834470,,,0,,Europe/London,1
490005615S,,Cromwell Road (Stop GZ),,51.4956510,-0.1829690,,,0,,Europe/London,1
490005678N,,Covent Garden Market East Side (Stop K),,51.4823420,-0.1274870,,,0,,Europe/London,1
490005678X,,Covent Garden Market East Side (Stop X),,51.4834750,-0.1269510,,,0,,Europe/London,1
490005754E,,Cresswell Gardens (Stop GB),,51.4908600,-0.1835490,,,0,,Europe/London,1
490005754W,,Cresswell Gardens (Stop GF),,51.4908260,-0.1843140,,,0,,Europe/London,1
490005777E,,Riverlight Quay (Stop B),,51.4816590,-0.1375390,,,0,,Europe/London,1
490005777S,,Riverlight Quay (Stop E),,51.4816590,-0.1370780,,,0,,Europe/London,1
490005797N,,Natural History Museum Cromwell Road (Stop GT),,51.4949990,-0.1790910,,,0,,Europe/London,1
490005797S,,Natural History Museum Cromwell Road (Stop GM),,51.4959680,-0.1789660,,,0,,Europe/London,1
490005919N,,Sacred Heart House (Stop N),,51.4643170,-0.1499350,,,0,,Europe/London,1
490005919S,,Sacred Heart House (Stop W),,51.4635850,-0.1495470,,,0,,Europe/London,1
490005964N,,Darley Road,,51.4541820,-0.1641190,,,0,,Europe/London,1
490005964S,,Darley Road,,51.4546320,-0.1642740,,,0,,Europe/London,1
490006007N,,Horseferry Road (Stop NK),,51.4957160,-0.1254120,,,0,,Europe/London,1
490006007S1,,Horseferry Road (Stop NB),,51.4955140,-0.1251750,,,0,,Europe/London,1
490006017W,,Condell Road (Stop R),,51.4746280,-0.1360680,,,0,,Europe/London,1
490006048E,,Deodar Road (Stop V),,51.4626080,-0.2077620,,,0,,Europe/London,1
490006048W,,Deodar Road (Stop W),,51.4625240,-0.2087010,,,0,,Europe/London,1
490006134N,,Dorset Road (Stop Y),,51.4779240,-0.1166940,,,0,,Europe/London,1
490006134S,,Dorset Road (Stop H),,51.4784620,-0.1158800,,,0,,Europe/London,1
490006224G,,Duke of York Square (Stop G),,51.4911270,-0.1604750,,,0,,Europe/London,1
490006224KP,,Duke of York Square (Stop KP),,51.4908640,-0.1612640,,,0,,Europe/London,1
490006274W,,Durham Street,,51.4863620,-0.1179460,,,0,,Europe/London,1
490006304W,,Empress State Bldg W Brompton (Stop BB),,51.4862520,-0.1986250,,,0,,Europe/London,1
490006305G,,Earls Court Road (Stop G),,51.4947740,-0.1948320,,,0,,Europe/London,1
490006305H,,Cromwell Road (Stop H),,51.4951480,-0.1958110,,,0,,Europe/London,1
490006305J,,Cromwell Road  Earls Court Rd (Stop J),,51.4946370,-0.1940880,,,0,,Europe/London,1
490006394S,,Eaton Square (Stop J),,51.4948620,-0.1526460,,,0,,Europe/London,1
490006394W,,Eaton Square (Stop F),,51.4947400,-0.1533140,,,0,,Europe/London,1
490006399E,,Ebury Bridge Road (Stop R),,51.4908910,-0.1510930,,,0,,Europe/London,1
490006399W,,Pimlico Road  Ebury Bridge Road (Stop Q),,51.4907380,-0.1516030,,,0,,Europe/London,1
490006400N,,Ebury Bridge,,51.4903410,-0.1486950,,,0,,Europe/London,1
490006401E,,Ebury Street,,51.4931300,-0.1505560,,,0,,Europe/London,1
490006403E,,Eccles Road,,51.4610940,-0.1627480,,,0,,Europe/London,1
490006403W,,Eccles Road,,51.4609260,-0.1631000,,,0,,Europe/London,1
490006404W,,Eccleston Bridge (Stop T),,51.4935110,-0.1473280,,,0,,Europe/London,1
490006437HB,,Edith Grove (Stop HB),,51.4843790,-0.1836910,,,0,,Europe/London,1
490006437HE,,Edith Grove (Stop HE),,51.4837910,-0.1848670,,,0,,Europe/London,1
490006514N,,Old Church Street (Stop HJ),,51.4891050,-0.1761280,,,0,,Europe/London,1
490006514S,,Old Church Street (Stop HQ),,51.4886970,-0.1764610,,,0,,Europe/London,1
490006515E,,United States Embassy (Stop C),,51.4832840,-0.1336270,,,0,,Europe/London,1
490006515S,,United States Embassy (Stop D),,51.4827120,-0.1336800,,,0,,Europe/London,1
